,email,link
0,,
1,candidature@dauphine.tn,https://tunis.dauphine.fr/fr/formation-initiale/2-licences/licence-gestion.html
2,uk@tanitweb.com,https://www.tanitweb.com/en/
3,commercial@tanitweb.com,https://www.tanitweb.com/en/
4,contact@tanitweb.com,https://www.tanitweb.com/en/
5,recrutement@3s.com,https://www.tanitjobs.com/job/669121/d%C3%A9veloppeur-devops/?backPage=&searchID=1597252304.4764
6,contact@gmail.com,https://www.tanitjobs.com/training/672674/15-remise-windows-server-v-2016/?backPage=&searchID=1597252304.4467
7,contact@gtec.com,https://www.tanitjobs.com/training/672674/15-remise-windows-server-v-2016/?backPage=&searchID=1597252304.4467
8,commercial@gmail.com,https://www.tanitjobs.com/training/672674/15-remise-windows-server-v-2016/?backPage=&searchID=1597252304.4467
9,ims@gmail.com,https://www.tanitjobs.com/training/667842/r%C3%A9duction-de-15-sessions-pratiques-en-erp-et-business-intelligence-ssis-ssas-ssrs-bigdata-talend-qlikview-sap-metier-et-parametrage/?backPage=&searchID=1597252304.4467
10,rh@pro2call.tn,https://www.tanitjobs.com/job/673763/profitez-d-une-prime-%C3%A0-l-embauche-de-250-tnd/?backPage=&searchID=1597252304.4333
11,ucginfo@universitecentrale.tn,https://www.universitecentrale.net/centraleCom/fr/
12,contact@aleia.io,https://www.optioncarriere.tn/jobad/tn744f152c65459ddfd2cc9a78a2bf245b
13,wehire@vneuron.com,https://www.optioncarriere.tn/jobad/tn51c42e1780251de76ff57ed2daa133fc
14,hrservices@samapartners.tn,https://www.optioncarriere.tn/jobad/tn49a9b7cf3f4e4f694f286467fe60552d
15,life@universitecentrale.tn,https://www.universitecentrale.net/fr/42/la-communaute-des-clubs
16,Studentcare@universitecentrale.tn,https://www.universitecentrale.net/fr/40/hebergement
17,slaymi@universitecentrale.tn,https://www.universitecentrale.net/fr/162/la-prepa-paces
18,contact@honoris.net,https://honoris.net/
19,cginfo@universitecentrale.tn,https://www.universitecentrale.net/fr/21/ouverture-a-l-international
20,eshmouncompany@eshmoun.com,https://www.universitecentrale.net/fr/155/technicien-de-recherche-clinique
21,Eshmouncompany@eshmoun.com,https://www.universitecentrale.net/fr/155/technicien-de-recherche-clinique
22,bamara@tn.honoris,https://www.universitecentrale.net/fr/155/technicien-de-recherche-clinique
23,naimi@universitecentrale.tn,https://www.universitecentrale.net/fr/155/technicien-de-recherche-clinique
24,dba@universitecentrale.tn,https://www.universitecentrale.net/executive/fr/filiere/144/dba
25,shortMBA@universitecentrale.tn,https://www.universitecentrale.net/executive/fr/filiere/122/diplomatie-economique-lobbying-veille-et-intelligence-economique
26,b2b@universitecentrale.tn,https://www.universitecentrale.net/fr/15/formation-intra-entreprise
27,mba@universitecentrale.tn,https://www.universitecentrale.net/fr/57/executive-mba
28,womenonboard@universitecentrale.tn,https://www.universitecentrale.net/executive/fr/filiere/146/advanced-certificate-women-be-board-ready
29,rh@universitecentrale.tn,https://www.universitecentrale.net/fr/59/l-universite-centrale-recrute
30,communication@cpu.fr,http://www.cpu.fr/
31,info@blackboard.com,https://www.mycourse.dauphine.fr/
32,mycourse@dauphine.fr,https://www.mycourse.dauphine.fr/
33,info@cge.asso,https://www.cge.asso.fr/
